title,love,score,tags,play_times
中二病也要谈恋爱！,586.1万追番,9.8,"[""校园"",""恋爱"",""搞笑"",""小说改""]",1100.0万
我的青春恋爱物语果然有问题。完,582.2万追番,8.9,"[""校园"",""恋爱"",""小说改""]",1100.0万
Charlotte,582.2万追番,9.5,"[""日常"",""校园"",""奇幻"",""催泪""]",1900.0万
OVERLORD Ⅲ,574万追番,9.4,"[""架空"",""小说改"",""智斗"",""奇幻""]",4500.0万
夏目友人帐 唤石者与怪异的访客,568.2万追番,9.9,"[""漫画改"",""奇幻"",""治愈""]",1646.9万
总之就是非常可爱,562.9万追番,9.5,"[""日常"",""恋爱"",""漫画改""]",1900.0万
夏目友人帐 唤石者与怪异的访客（中配）,561.9万追番,,"[""漫画改"",""奇幻"",""治愈""]",70.6万
OVERLORD Ⅱ,560.9万追番,9.6,"[""小说改"",""奇幻"",""战斗"",""魔法""]",4200.0万
总之就是非常可爱 第二季,556.6万追番,9.5,"[""漫画改"",""搞笑"",""治愈"",""奇幻""]",3346.1万
命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂,555.1万追番,4.3,"[""游戏改"",""战斗"",""奇幻"",""热血""]",324.1万
命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂,550.1万追番,9.8,"[""游戏改"",""奇幻"",""战斗"",""热血""]",256.5万
虚构推理 第二季,546.1万追番,9.7,"[""漫画改"",""奇幻"",""恋爱"",""神魔""]",4401.9万
Angels of Death,540.4万追番,9.5,"[""恋爱"",""游戏改"",""冒险""]",1300.0万
虚构推理,538.7万追番,9.2,"[""漫画改"",""神魔"",""恋爱"",""奇幻""]",1200.0万
路人超能100 III(灵能百分百 第三季),536.6万追番,9.9,"[""漫画改"",""奇幻"",""热血"",""战斗""]",9881.5万
青春猪头少年不会梦到怀梦美少女,523.1万追番,9.8,"[""小说改"",""穿越"",""奇幻"",""校园""]",3078.7万
干物妹！小埋,522.3万追番,9.3,"[""萌系"",""日常""]",2000.0万
命运-冠位指定 冠位时间神殿所罗门,521.7万追番,8.6,"[""游戏改"",""战斗"",""奇幻""]",1603.2万
这个勇者明明超强却过分慎重,521.2万追番,9.7,"[""冒险"",""架空"",""小说改"",""穿越""]",1800.0万
JOJO的奇妙冒险 黄金之风,517.8万追番,9.8,"[""冒险"",""漫画改"",""战斗"",""智斗""]",5500.0万
刀剑神域 爱丽丝篇 异界战争,517万追番,9.1,"[""小说改"",""穿越"",""科幻"",""架空""]",1100.0万
盾之勇者成名录,515.9万追番,7.4,"[""小说改"",""奇幻"",""魔法"",""架空""]",3000.0万
"世界顶尖的暗杀者,转生为异世界贵族",513.5万追番,9.2,"[""小说改"",""穿越"",""战斗""]",1600.0万
岸边露伴 一动也不动,512.3万追番,9.8,"[""漫画改"",""奇幻"",""战斗""]",4388.8万
我的青春恋爱物语果然有问题。,508.6万追番,9.7,"[""恋爱"",""小说改"",""日常"",""校园""]",1300.0万
我们仍未知道那天所看见的花的名字。,505.9万追番,9.6,"[""催泪"",""原创"",""日常"",""治愈""]",8156.1万
碧蓝之海,504.8万追番,9.9,"[""社团"",""漫画改"",""搞笑"",""运动""]",1900.0万
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,502.2万追番,9.5,"[""游戏改"",""穿越"",""奇幻"",""战斗""]",1800.0万
异度侵入 ID:INVADED,502.1万追番,9.8,"[""原创"",""科幻"",""推理""]",1300.0万
干物妹！小埋R,501.6万追番,9.5,"[""萌系"",""搞笑"",""日常"",""漫画改""]",1600.0万
致不灭的你,497.9万追番,9.5,"[""漫画改"",""冒险"",""催泪"",""奇幻""]",1500.0万
Re：从零开始的异世界生活 Memory Snow(雪之回忆),496.9万追番,9.7,"[""小说改"",""穿越"",""奇幻"",""日常""]",1621万
Fate/stay night [Unlimited Blade Works] 第一季,496.2万追番,9.5,"[""奇幻"",""热血""]",2100.0万
NO GAME NO LIFE 游戏人生,495万追番,9.8,"[""奇幻"",""智斗"",""架空"",""穿越""]",1000.0万
Re：从零开始的异世界生活 冰结之绊,494.9万追番,9.5,"[""小说改"",""奇幻"",""战斗"",""冒险""]",1564.3万
